date,mean_percent,median_percent,max_amount,count
2018-05-13,18.41834573770753,19.993560849967803,250.0,108825
2018-05-14,18.563545176401867,19.994295493439814,100.0,89895
2018-05-15,18.658397802740907,19.994603345925523,166.66,73937
2018-05-16,18.68031423491282,19.994879672299028,111.11,73538
2018-05-17,18.57083106442573,19.99437570303712,100.0,82699
2018-05-18,18.38962364695932,19.9825479930192,150.15,85146
2018-05-19,18.349864591371894,19.992019154030324,80.0,94811
2018-05-20,18.387367310200133,19.993346640053225,250.0,101095
2018-05-21,18.609193246515094,19.99445368829728,85.0,90979
2018-05-22,18.661013601461526,19.99474513925381,80.0,75829
2018-05-23,18.640159914431763,19.994675186368475,100.0,80599
2018-05-24,18.54083563665629,19.993662864385296,86.0,78981
2018-05-25,18.387707583201607,19.98106060606061,150.0,80474
2018-05-26,18.288612988843894,19.99404052443385,65.0,81352
2018-05-27,18.340120977212266,19.994128009395187,153.94,77300
2018-05-28,18.49457929386842,19.994295493439814,94.0,87792
2018-05-29,18.4825100290741,19.994295493439814,100.0,74691
2018-05-30,18.524304275971495,19.99404052443385,115.0,73762
2018-05-31,18.658363221340124,19.994675186368475,180.0,72962
2018-06-01,18.389892365784007,19.982993197278912,80.0,80045
2018-06-02,18.39506309348299,19.994603345925523,77.52,91141
2018-06-03,18.300674893309804,19.98106060606061,100.0,94610
2018-06-04,18.567533461273133,19.99437570303712,200.0,87731
2018-06-05,18.577938297612416,19.994675186368475,96.09,79432
2018-06-06,18.65842827856969,19.99474513925381,190.0,85614
2018-06-07,18.556368622418507,19.994295493439814,153.0,82016
2018-06-08,18.421650546401263,19.990412272291465,260.0,81732
2018-06-09,18.299185186599384,19.98106060606061,282.0,89141
2018-06-10,18.32527852598612,19.99274310595065,411.5,93305
2018-06-11,18.588594125840736,19.994529540481402,263.0,91714
2018-06-12,18.613957203441238,19.994529540481402,117.74,83009
2018-06-13,18.670557362170985,19.994603345925523,355.0,84551
2018-06-14,18.553195331150004,19.994128009395187,345.0,84278
2018-06-15,18.382903034377303,19.970414201183434,190.0,94866
2018-06-16,18.30182471161495,19.97950819672131,189.96,100077
2018-06-17,18.32380912257709,19.993761696818467,251.0,107419
2018-06-18,18.55614549199564,19.994295493439814,100.0,85826
2018-06-19,18.5483427603578,19.994603345925523,74.0,80399
2018-06-20,18.559453129318683,19.994603345925523,105.0,81153
2018-06-21,18.636778164881846,19.994603345925523,137.91,73110
2018-06-22,18.559242983947716,19.994675186368475,115.0,82211
2018-06-23,18.413725438400377,19.994813278008298,120.0,90179
2018-06-24,18.360381305557706,19.99395039322444,200.0,93250
2018-06-25,18.594963514638376,19.994212962962962,189.44,87900
2018-06-26,18.58330281717038,19.99474513925381,57.0,82389
2018-06-27,18.66982808547299,19.994879672299028,100.0,80075
2018-06-28,18.620346689389862,19.994879672299028,100.0,74075
2018-06-29,18.382848781318668,19.99246987951807,200.5,73949
2018-06-30,18.36188631253193,19.994813278008298,250.0,93442
2018-07-01,18.44173546171404,19.994813278008298,213.2,95780
2018-07-02,18.39259135341672,19.993560849967803,100.0,74244
2018-07-03,18.38310400223412,19.993455497382197,60.0,67502
2018-07-04,18.420488040673856,19.996584699453553,118.88,76946
2018-07-05,18.217618177016835,19.99395039322444,93.9,66384
2018-07-06,18.227232600483777,19.99385749385749,79.0,62457
2018-07-07,18.211431300814628,19.994529540481402,110.0,74145
2018-07-08,18.340804530300893,19.993761696818467,120.0,83217
2018-07-09,18.4872908984933,19.99437570303712,120.0,76737
2018-07-10,18.576085125184985,19.99474513925381,60.94,76179
2018-07-11,18.54359817143578,19.994675186368475,150.0,78627
2018-07-12,18.523016783667305,19.994675186368475,75.0,73780
2018-07-13,18.36698690641196,19.993560849967803,120.59,74259
2018-07-14,18.332546228768205,19.99512907939601,207.0,86528
2018-07-15,18.269676086602026,19.99395039322444,221.81,94602
2018-07-16,18.502379162418173,19.99437570303712,100.0,83793
2018-07-17,18.716752984638784,19.99506903353057,100.0,68435
2018-07-18,18.58810085551638,19.994813278008298,100.0,77987
2018-07-19,18.510622796352454,19.99494438827098,200.0,68712
2018-07-20,18.326625362099872,19.99445368829728,160.0,72691
2018-07-21,18.413718697109346,19.996584699453553,140.0,81309
2018-07-22,18.484807821407085,19.995511669658885,155.0,80285
